iter	Passed	Remaining
403	14500	21392
404	14531	21349
405	14563	21306
406	14599	21271
407	14631	21230
408	14664	21190
409	14698	21150
410	14732	21113
411	14767	21075
412	14800	21036
413	14835	20998
414	14871	20962
415	14908	20928
416	14941	20889
417	14975	20850
418	15010	20814
419	15048	20781
420	15087	20749
421	15121	20710
422	15157	20676
423	15193	20639
424	15229	20604
425	15265	20568
426	15300	20532
427	15339	20500
428	15379	20469
429	15417	20437
430	15456	20405
431	15493	20370
432	15526	20331
433	15561	20294
434	15597	20258
435	15636	20227
436	15670	20188
437	15703	20149
438	15738	20112
439	15772	20074
440	15807	20037
441	15842	19999
442	15878	19964
443	15913	19928
444	15949	19892
445	15996	19869
446	16061	19869
447	16105	19844
448	16150	19818
449	16189	19786
450	16230	19757
451	16273	19729
452	16316	19702
453	16357	19671
454	16400	19644
455	16442	19615
456	16480	19581
457	16518	19548
458	16555	19512
459	16592	19478
460	16628	19441
461	16660	19401
462	16694	19362
463	16728	19323
464	16761	19284
465	16796	19247
466	16834	19213
467	16870	19177
468	16906	19141
469	16944	19107
470	16979	19070
471	17018	19037
472	17055	19002
473	17089	18964
474	17125	18927
475	17159	18889
476	17196	18854
477	17231	18818
478	17267	18782
479	17304	18746
480	17339	18709
481	17373	18671
482	17410	18635
483	17443	18596
484	17477	18559
485	17512	18521
486	17546	18483
487	17580	18444
488	17614	18407
489	17651	18372
490	17688	18336
491	17727	18303
492	17764	18269
493	17801	18234
494	17836	18197
495	17876	18164
496	17912	18128
497	17946	18091
498	17984	18056
499	18020	18020
500	18059	17986
501	18094	17950
502	18130	17914
503	18168	17879
504	18207	17846
505	18244	17812
506	18281	17776
507	18319	17742
508	18357	17708
509	18398	17677
510	18435	17641
511	18468	17603
512	18503	17565
513	18540	17530
514	18583	17500
515	18623	17468
516	18657	17430
517	18696	17396
518	18731	17359
519	18764	17320
520	18799	17283
521	18833	17245
522	18869	17209
523	18902	17170
524	18934	17130
525	18964	17089
526	18997	17050
527	19025	17007
528	19056	16967
529	19088	16927
530	19120	16888
531	19157	16852
532	19192	16816
533	19227	16778
534	19262	16742
535	19297	16705
536	19331	16667
537	19369	16633
538	19404	16596
539	19439	16559
540	19476	16524
541	19512	16488
542	19546	16450
543	19582	16414
544	19617	16377
545	19651	16340
546	19686	16303
547	19719	16265
548	19752	16226
549	19786	16188
550	19819	16150
551	19854	16113
552	19884	16073
553	19920	16037
554	19955	16000
555	19995	15967
556	20032	15932
